"obs.plot.id","sub.region","volume.m3.ha","coords.x","coords.y","n.A"
1,"Frohn",188.285547788679,404923.501930411,168395.36561177,1260
2,"Frohn",360.781522692429,405146.385430331,168559.413215923,1262
3,"Frohn",381.417181927966,405305.300532466,168631.478947001,1258
4,"Frohn",525.273289286127,405369.463440856,168651.34135333,1260
5,"Frohn",440.188102967659,405439.808071758,168688.861038295,1254
6,"Frohn",357.670924082746,405600.462146946,168804.231606212,1257
7,"Frohn",936.277687341036,405659.336111077,169108.085482403,1257
8,"Frohn",847.034033524147,405711.461646092,169042.453202541,1266
9,"Frohn",632.076671092744,405841.920462532,169227.309166792,1257
10,"Frohn",363.016029596471,405878.95696009,169140.257005067,1256
11,"Frohn",979.461733753346,406007.872437257,169218.181813907,1255
12,"Frohn",465.458594504983,405998.137485451,169461.639043694,1257
13,"Frohn",411.539883491346,406017.79933912,169629.67821714,1257
14,"Frohn",463.796865604156,406008.79406447,169590.071384489,1255
15,"Frohn",628.04268192138,405983.346532718,169763.732845177,1257
16,"Frohn",870.52076921231,406006.553396444,169835.282181933,1257
17,"Frohn",594.023318441825,406092.901545272,170175.316669441,1258
18,"Frohn",780.276014960438,406263.298629893,170367.681596285,1257
19,"Frohn",730.988999054769,406211.961489713,170435.904086489,1253
20,"Frohn",578.903509742579,406251.253475362,170591.367320043,1259
21,"Frohn",907.799676622996,406257.585417028,170638.898048976,1253
22,"Laas",772.403503744315,423228.660351638,174181.873420583,1256
23,"Laas",498.259849748858,423077.3548088,174170.376693852,1260
24,"Laas",955.462283447928,423521.403783566,174158.020248367,1251
25,"Laas",625.174731616072,423066.036832507,174512.403812697,1251
26,"Laas",856.652354971175,423141.190544124,174548.162982778,1255
27,"Laas",1157.85939412228,423938.37451487,174041.745134497,1259
28,"Laas",1054.32171939939,424048.888507736,173985.501075923,1254
29,"Laas",421.511017277014,424126.562285815,173904.757664046,1256
30,"Laas",1351.39852303073,424209.813534411,174039.445912826,1257
31,"Laas",684.571845213213,424260.659695588,174142.45570371,1260
32,"Laas",1381.97169642357,424573.31800361,173841.83382628,1259
33,"Laas",892.246549675433,423530.428486637,174682.39374102,1263
34,"Laas",834.409679249915,423020.379196403,175053.887957188,1255
35,"Laas",141.955280171057,423273.474480589,175339.448681139,1265
36,"Laas",471.482770124513,423705.768150464,174811.097183833,1257
37,"Laas",506.561505941348,423925.601119932,174748.384946877,1262
38,"Laas",739.263910407298,424610.643063889,174096.268151338,1257
39,"Mauthen",402.676307131367,421647.418585231,167596.362594138,1263
40,"Mauthen",1022.9757065585,422005.04339628,167839.953801147,1255
41,"Mauthen",687.665475715354,421276.46030622,167998.406605692,1262
42,"Mauthen",808.952266408491,421855.992271805,168027.593809812,1251
43,"Mauthen",432.578288873328,421411.909060705,167828.628879583,1256
44,"Mauthen",1219.78340305214,421737.515656711,167877.851504569,1254
45,"Liesing",756.6843603266,410763.399097319,171317.493108026,1264
46,"Liesing",656.975983690061,410888.357500443,171326.930737444,1256
47,"Liesing",698.412832393091,410571.258496167,171277.122446139,1258
48,"Liesing",671.863920091363,410477.913747822,171297.639693342,1257
49,"Liesing",562.870316310421,410443.547682859,171392.792866166,1258
50,"Liesing",746.633405601394,410661.933986226,171429.362414786,1253
51,"Liesing",729.108156409044,410797.321258287,171715.027306046,1254
52,"Ploecken",555.410824053137,422521.723468177,163839.900469557,1258
53,"Ploecken",527.615512747459,422674.804234482,163636.92494932,1255
54,"Ploecken",968.322960975196,423220.393429569,163536.016400291,1250
55,"Ploecken",931.47574662335,423003.259812337,163691.809508835,1259
56,"Ploecken",858.058723328494,422816.111190035,163897.784683445,1256
57,"Ploecken",816.498157662823,422885.600520499,163862.723685325,1258
58,"Ploecken",736.478280840399,423090.141343581,163742.271205915,1259
59,"Ploecken",772.548374787087,423327.162681429,163815.720217885,1258
60,"Ploecken",826.800757280601,423293.546307796,163301.552702,1266
61,"Ploecken",759.655730839423,422977.41443467,163243.066757738,1254
62,"Ploecken",746.547910134768,422574.532206508,163549.091139547,1254
